18:18, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
46013  ,105.785  ,42.2872  ,-67.2932  ,2.45973e+00
61425  ,105.715  ,41.836  ,-70.1943  ,2.45958e+00
62577  ,106.372  ,40.6792  ,-68.0461  ,2.45958e+00
74152  ,105.816  ,41.9786  ,-68.2103  ,2.45953e+00
86485  ,105.676  ,42.2872  ,-68.2905  ,2.45946e+00
72919  ,105.623  ,42.2872  ,-68.8855  ,2.45946e+00
27528  ,105.567  ,42.2872  ,-69.5082  ,2.45937e+00
81545  ,105.432  ,42.2872  ,-71.3139  ,2.45933e+00
61426  ,105.827  ,41.5454  ,-70.0741  ,2.45927e+00
13126  ,106.138  ,41.0713  ,-68.6156  ,2.45919e+00
55473  ,107.059  ,40.2872  ,-62.8758  ,2.45913e+00
33661  ,106.046  ,40.2872  ,-74.4562  ,2.45911e+00
86482  ,106.254  ,40.6726  ,-69.0613  ,2.45903e+00
27529  ,105.679  ,41.9966  ,-69.3879  ,2.45902e+00
27540  ,106.079  ,40.836  ,-70.2282  ,2.45877e+00
25517  ,106.334  ,40.858  ,-67.1857  ,2.45876e+00
34636  ,105.697  ,41.2826  ,-73.1025  ,2.45864e+00
25514  ,106.226  ,40.9786  ,-67.6491  ,2.45852e+00
46002  ,105.992  ,41.3706  ,-68.2186  ,2.45818e+00
34637  ,105.906  ,40.808  ,-72.278  ,2.45802e+00
46004  ,105.75  ,41.8385  ,-68.575  ,2.45792e+00
27538  ,106.227  ,40.2872  ,-70.5638  ,2.45788e+00
40558  ,106.55  ,40.2872  ,-66.7816  ,2.45776e+00
25107  ,105.847  ,41.382  ,-69.51  ,2.45765e+00
11232  ,106.062  ,41.4289  ,-66.8949  ,2.45761e+00
11467  ,105.757  ,41.3848  ,-70.5442  ,2.45747e+00
25518  ,105.954  ,41.5494  ,-67.3583  ,2.45740e+00
33662  ,105.778  ,40.7618  ,-73.9626  ,2.45723e+00
25131  ,106.099  ,40.6726  ,-69.6642  ,2.45717e+00
11231  ,105.846  ,41.67  ,-67.8217  ,2.45716e+00
81254  ,106.449  ,40.8882  ,-65.0709  ,2.45709e+00
55996  ,105.781  ,42.2872  ,-65.8714  ,2.45709e+00
46015  ,105.705  ,41.9786  ,-67.9019  ,2.45709e+00
88834  ,105.512  ,42.2872  ,-68.575  ,2.45705e+00
1700  ,105.565  ,42.2872  ,-67.982  ,2.45703e+00
7590  ,105.46  ,42.2872  ,-69.172  ,2.45702e+00
81542  ,105.364  ,42.2872  ,-70.2963  ,2.45687e+00
62572  ,105.966  ,41.0647  ,-69.0158  ,2.45674e+00
34634  ,105.988  ,40.2872  ,-73.1381  ,2.45669e+00
91192  ,106.772  ,40.2872  ,-64.1654  ,2.45668e+00
11230  ,106.299  ,41.462  ,-64.042  ,2.45656e+00
40559  ,106.278  ,40.858  ,-66.4907  ,2.45654e+00
27533  ,105.904  ,40.836  ,-70.8798  ,2.45653e+00
25498  ,106.125  ,42.2872  ,-62.5491  ,2.45647e+00
33639  ,105.067  ,42.2872  ,-74.619  ,2.45640e+00
25501  ,106.303  ,41.8572  ,-62.5193  ,2.45637e+00
72922  ,105.561  ,42.0436  ,-68.5665  ,2.45609e+00
49040  ,106.109  ,41.8746  ,-63.9492  ,2.45603e+00
25504  ,106.145  ,41.4159  ,-65.2627  ,2.45594e+00
86973  ,105.776  ,41.2214  ,-69.9801  ,2.45589e+00
86083  ,105.594  ,41.3562  ,-71.7561  ,2.45586e+00
62567  ,105.617  ,41.753  ,-69.069  ,2.45569e+00
5714  ,106.052  ,40.2872  ,-71.2153  ,2.45562e+00
25503  ,105.956  ,41.8149  ,-65.2801  ,2.45556e+00
1517  ,105.918  ,42.2872  ,-63.8565  ,2.45553e+00
5708  ,106.494  ,40.2872  ,-66.0866  ,2.45552e+00
7389  ,105.088  ,42.2872  ,-73.3011  ,2.45544e+00
65352  ,105.733  ,41.858  ,-67.0197  ,2.45520e+00
81547  ,105.352  ,41.8353  ,-71.6709  ,2.45501e+00
46017  ,105.625  ,41.9786  ,-67.4831  ,2.45499e+00
46014  ,105.485  ,42.2872  ,-67.5633  ,2.45494e+00
46005  ,105.737  ,41.4356  ,-68.5748  ,2.45474e+00
81210  ,105.406  ,41.836  ,-70.6462  ,2.45472e+00
